,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
10,TaylorIndiana,Veritas lux mea. Follower of conflict in MENA and Afghanistan. OSINT believer and against those who seek injustice in this world.,"Paris, France",229,115,8753,0,This is #china #chinazi #chinaexposed #chinataliban #chinavirus #wuhan #wuhanvirus #chinesevirus @WHO @MFA_China @ASEAN #Asia #USA #America #Europe #India #Australia #COVID19AB #corona #CCP #Wuhanlab #Uyghurs #Taiwan #HK https://t.co/LRXxZOHzGR,"['china', 'chinazi', 'chinaexposed', 'chinataliban', 'chinavirus', 'wuhan', 'wuhanvirus', 'chinesevirus', 'Asia', 'USA', 'America', 'Europe', 'India', 'Australia', 'COVID19AB', 'corona', 'CCP', 'Wuhanlab', 'Uyghurs', 'Taiwan', 'HK']"
11,FreeChinaNow_US,"Communism Sucks, socialism sucks. neither work. its all a big lie.",,178,65,8287,40,89% of Americans already see #CCP fascist #China is America's enemy. This number will help me to push through #WuhanVirus #Warreparations legislations in🇺🇸Congress to take away🇨🇳sovereign immunity so 665K+🇺🇸victim families &amp; 50 states can sue for Covid-19 damages.,"['CCP', 'China', 'WuhanVirus']"
12,MofoNewfie,"Half a century old,still no https://t.co/Pjgs6ViUZb worked rigs last 12yrs.back to da rock. Fishing and workin.Happy again🤘Animal lover",Canada,939,666,23039,0,"Big surprise!  NOT!
#TrudeauMustGo
#TrudeauDictatorshipMustGo
#TrudeauWorstPMEver #ChineseVirus
#WuhanVirus
#ChinaLiedPeopleDied
#ChinaMustPay
#FireTrudeau https://t.co/XDkcqycLuP","['TrudeauMustGo', 'TrudeauDictatorshipMustGo', 'TrudeauWorstPMEver', 'ChineseVirus', 'WuhanVirus']"
13,PullTheShade3,A movement against mainstream erotica & human objectification and a call to the pursuit of authentic love.,,901,6,51320,0,"@BillOReilly #wuhanvirus - that’s the name of the game 
Covid - Corona are military code words",['wuhanvirus']
14,JessePolitic650,Government & Politics;,West TX,385,201,73510,0,"#CCPVirus_JOKE

When Mom decides it's time to take a #nap,

she lies down on the couch, turns on CNN to watch the stories about
 
#CoronaVirus #WuhanVirus #COVID19

It rocks her to sleep.

qt-covid19-jokes-010 by #BorderObserver","['CCPVirus_JOKE', 'nap', 'CoronaVirus', 'WuhanVirus', 'COVID19', 'BorderObserver']"
15,PplFuture,I have to put all my effort to protect my next generations. Hope others can help!,,27,591,79568,12,Pew poll showed 89% of🇺🇸public see🇨🇳is🇺🇸's enemy. Both Trump &amp; #BeijingBiden administrations gave #CCP fascist #China Uyghur genocide designation. #Xitler bioattacked🇺🇸w/ #WuhanVirus killing 665K Americans. Now the verdict is 89% of Americans should see🇨🇳is🇺🇸's genocidal enemy. https://t.co/gh3WzpjixA,"['BeijingBiden', 'CCP', 'China']"
16,MFGgearOfficial,Our Mission is to make America the Manufacturing Superpower of the World and to bring positivity to the idea that we are all Privileged to be Americans 🇺🇸,"Laguna Beach, CA",430,4862,12098,40,89% of Americans already see #CCP fascist #China is America's enemy. This number will help me to push through #WuhanVirus #Warreparations legislations in🇺🇸Congress to take away🇨🇳sovereign immunity so 665K+🇺🇸victim families &amp; 50 states can sue for Covid-19 damages.,"['CCP', 'China', 'WuhanVirus']"
17,srbVllefecJtuN1,"日本の力強い経済力を取り戻す‼️

日本の伝統を取り戻し秩序を安定させる事が急務

女性の活躍する場を増やし安定した社会を維持させる。

そして霞ヶ関の膿を取り除き官邸主導を実現させる‼️

国民と共に新しい政治を実現させる。",茨城県那珂市,2188,458,14893,12,Pew poll showed 89% of🇺🇸public see🇨🇳is🇺🇸's enemy. Both Trump &amp; #BeijingBiden administrations gave #CCP fascist #China Uyghur genocide designation. #Xitler bioattacked🇺🇸w/ #WuhanVirus killing 665K Americans. Now the verdict is 89% of Americans should see🇨🇳is🇺🇸's genocidal enemy. https://t.co/gh3WzpjixA,"['BeijingBiden', 'CCP', 'China']"
18,drjhavn1,"Exec Editor 'The Counterviews'; A doctor; Air Veteran; Scientist & Fmr Jt Dir, DRDO; Author of a book; Critic of Indian History & Politics. TV expert Def & S&T.","Bengaluru, India",80,221,22628,1,@business Whichever scientist wants to predict the behaviour of #WuhanVirus #Covid19 he/she is shooting in the dark at best.,"['WuhanVirus', 'Covid19']"
19,Tai38928286,"liberate hk,手足互科，Stand with HK",,1451,1204,51760,40,89% of Americans already see #CCP fascist #China is America's enemy. This number will help me to push through #WuhanVirus #Warreparations legislations in🇺🇸Congress to take away🇨🇳sovereign immunity so 665K+🇺🇸victim families &amp; 50 states can sue for Covid-19 damages.,"['CCP', 'China', 'WuhanVirus']"
20,Tai38928286,"liberate hk,手足互科，Stand with HK",,1451,1204,51760,12,Pew poll showed 89% of🇺🇸public see🇨🇳is🇺🇸's enemy. Both Trump &amp; #BeijingBiden administrations gave #CCP fascist #China Uyghur genocide designation. #Xitler bioattacked🇺🇸w/ #WuhanVirus killing 665K Americans. Now the verdict is 89% of Americans should see🇨🇳is🇺🇸's genocidal enemy. https://t.co/gh3WzpjixA,"['BeijingBiden', 'CCP', 'China']"
21,amadorn,We buy and sell vintage and contemporary costume jewelry. Use coupon: TWCUST11 at checkout for 10% discount.,,2838,2626,371760,0,"Another COVID ‘Fact’ Turns Out To Be A Wild Exaggeration – Issues &amp; Insights

#Coronavirus #WuhanVirus  https://t.co/MXqqd58CTO","['Coronavirus', 'WuhanVirus']"
